iter	Passed	Remaining
138	1982	12278
139	1995	12257
140	2010	12247
141	2022	12219
142	2036	12207
143	2052	12203
144	2066	12184
145	2079	12162
146	2093	12148
147	2109	12146
148	2125	12140
149	2141	12134
150	2156	12123
151	2170	12107
152	2184	12092
153	2198	12079
154	2213	12069
155	2229	12060
156	2242	12041
157	2256	12025
158	2272	12021
159	2288	12013
160	2301	11993
161	2316	11980
162	2328	11958
163	2344	11950
164	2357	11932
165	2374	11928
166	2390	11922
167	2405	11915
168	2424	11923
169	2438	11905
170	2455	11902
171	2481	11944
172	2495	11931
173	2507	11904
174	2526	11912
175	2540	11894
176	2554	11876
177	2569	11867
178	2589	11879
179	2601	11851
180	2616	11837
181	2634	11839
182	2647	11817
183	2662	11807
184	2676	11789
185	2691	11780
186	2705	11761
187	2719	11746
188	2730	11717
189	2747	11713
190	2762	11701
191	2776	11683
192	2789	11663
193	2805	11654
194	2820	11643
195	2834	11625
196	2849	11615
197	2864	11603
198	2876	11578
199	2890	11561
200	2905	11548
201	2921	11539
202	2934	11522
203	2948	11506
204	2963	11492
205	2983	11498
206	2996	11479
207	3011	11466
208	3025	11450
209	3040	11438
210	3054	11420
211	3069	11409
212	3084	11396
213	3100	11387
214	3115	11374
215	3128	11355
216	3142	11339
217	3160	11336
218	3176	11326
219	3190	11311
220	3206	11303
221	3222	11293
222	3236	11277
223	3250	11261
224	3265	11247
225	3280	11233
226	3288	11199
227	3301	11177
228	3315	11161
229	3328	11141
230	3347	11142
231	3363	11135
232	3379	11124
233	3393	11109
234	3409	11100
235	3423	11083
236	3438	11070
237	3453	11057
238	3471	11052
239	3490	11051
240	3502	11029
241	3523	11035
242	3538	11023
243	3553	11009
244	3566	10991
245	3582	10981
246	3596	10963
247	3620	10978
248	3645	10995
249	3661	10984
250	3678	10976
251	3702	10989
252	3720	10986
253	3733	10963
254	3748	10951
255	3758	10922
256	3770	10902
257	3783	10880
258	3797	10863
259	3813	10853
260	3827	10836
261	3850	10845
262	3868	10839
263	3883	10826
264	3899	10815
265	3913	10800
266	3927	10781
267	3942	10767
268	3957	10753
269	3972	10740
270	3987	10725
271	4001	10711
272	4015	10692
273	4028	10674
274	4048	10672
275	4063	10658
276	4075	10638
277	4089	10620
278	4106	10611
279	4120	10596
280	4134	10578
281	4148	10561
282	4164	10550
283	4179	10536
284	4191	10516
285	4203	10494
286	4216	10475
287	4232	10464
288	4246	10447
289	4259	10428
290	4274	10414
291	4287	10395
292	4299	10375
293	4314	10361
294	4331	10352
295	4344	10334
296	4361	10323
297	4377	10312
298	4399	10314
299	4416	10305
300	4430	10288
301	4443	10269
302	4456	10251
303	4475	10245
304	4488	10228
305	4501	10209
306	4523	10211
307	4537	10194
308	4549	10174
309	4564	10159
310	4584	10157
311	4599	10142
312	4614	10128
313	4630	10116
314	4645	10102
315	4657	10082
316	4671	10064
317	4684	10046
318	4701	10036
319	4714	10018
320	4728	10002
321	4740	9982
322	4755	9967
323	4770	9953
324	4782	9933
325	4794	9913
326	4805	9890
327	4818	9872
328	4836	9864
329	4854	9856
330	4869	9841
331	4884	9827
332	4898	9810
333	4913	9796
334	4925	9777
335	4942	9766
336	4957	9752
337	4969	9733
338	4986	9722
339	5000	9707
340	5014	9690
341	5025	9669
342	5040	9654
343	5052	9634
344	5067	9621
345	5081	9604
346	5097	9593
347	5114	9582
348	5130	9569
349	5143	9552
350	5157	9537
351	5171	9520
352	5184	9503
353	5198	9486
354	5213	9472
355	5226	9454
356	5240	9438
357	5252	9418
358	5267	9405
359	5280	9387
360	5295	9373
361	5308	9356
362	5323	9342
363	5336	9324
364	5351	9310
365	5366	9296
366	5381	9282
367	5399	9272
368	5414	9258
369	5428	9242
370	5441	9224
371	5453	9206
372	5475	9204
373	5494	9196
374	5507	9179
375	5525	9169
376	5538	9152
377	5564	9156
378	5582	9146
379	5597	9132
380	5611	9116
381	5624	9099
382	5640	9087
383	5656	9073
384	5670	9058
385	5684	9042
386	5698	9026
387	5710	9007
388	5723	8989
389	5737	8974
390	5749	8955
391	5763	8938
392	5777	8923
393	5791	8908
394	5807	8895
395	5822	8881
396	5833	8860
397	5850	8848
398	5864	8833
399	5876	8815
400	5893	8803
401	5907	8787
402	5920	8770
403	5931	8751
404	5945	8735
405	5961	8721
406	5976	8707
